Iteration count, C(i) - C(i-1) 
1,0.650690637448136
2,0.06358816982236615
3,0.004498957497641953
4,0.0003069684216292501
5,2.0890509801585466e-05
6,1.4214364827402903e-06
7,9.671651568510242e-08
